id,subject,topic,difficulty,question,option_1,option_2,option_3,option_4,answer,explanation
789,OBG,Obstetrics - Labor,2,Which of the following is the 'Engaging Diameter' in a Brow presentation?,Mento-vertical (13.5 cm),Suboccipito-bregmatic (9.5 cm),Biparietal (9.5 cm),Occipito-frontal (11.5 cm),Mento-vertical (13.5 cm),"The mento-vertical is the largest diameter of the fetal head, preventing labor progress in brow presentation."
790,OBG,Obstetrics - Anatomy,1,The 'Volume of Amniotic Fluid' at term is approximately:,200 ml,600-800 ml,1500 ml,2000 ml,600-800 ml,It peaks at 36-38 weeks (800ml) and decreases slightly towards term.
791,OBG,Gynaecology - Oncology,4,The 'Lynch Syndrome' is associated with an increased risk of Colorectal and:,Ovarian Cancer,Endometrial Cancer,Cervical Cancer,Vaginal Cancer,Endometrial Cancer,Lynch syndrome (HNPCC) significantly increases the lifetime risk of endometrial carcinoma.
792,OBG,Obstetrics - Labor,3,The 'Wood’s Screw Maneuver' for shoulder dystocia involves:,Lifting the head,Rotating the posterior shoulder,Applying fundal pressure,Breaking the clavicle,Rotating the posterior shoulder,It involves rotating the posterior shoulder by 180 degrees to 'screw' the fetus out.
793,OBG,Gynaecology - Amenorrhea,2,The 'Primary' cause of Primary Amenorrhea with absent secondary sexual characteristics is:,PCOS,Turner Syndrome,MRKH,Imperforate Hymen,Turner Syndrome,Absent estrogen production in Turner syndrome leads to failure of breast development.
794,OBG,Obstetrics - ANC,1,"In a 20-week pregnant woman, the 'Fundal Height' should be at the level of:",Symphysis Pubis,Umbilicus,Xiphisternum,Midway between symphysis and umbilicus,Umbilicus,"At 20-22 weeks, the fundus of the uterus reaches the level of the umbilicus."
795,OBG,Obstetrics - Fetal Monitoring,4,The 'Sinusoidal Pattern' on fetal heart monitoring is characteristic of:,Head compression,Cord compression,Severe fetal anemia,Fetal sleep,Severe fetal anemia,A sinusoidal heart rate is an ominous sign often seen in severe Rh isoimmunization or massive feto-maternal hemorrhage.
796,OBG,Obstetrics - Labor,2,The 'Internal Rotation' of the fetal head occurs when the head reaches:,Pelvic inlet,Pelvic floor (Levator ani),Ischial spines,Vaginal introitus,Pelvic floor (Levator ani),The resistance of the pelvic floor muscles causes the head to rotate to an occipito-anterior position.
797,OBG,Gynaecology - Oncology,3,What is the most common histological type of 'Endometrial Cancer'?,Serous,Clear cell,Endometrioid Adenocarcinoma,Mucinous,Endometrioid Adenocarcinoma,Type 1 Endometrioid carcinoma is the most common and is associated with estrogen excess.
798,OBG,Obstetrics - Labor,2,The 'Zavanelli Maneuver' (pushing the head back for emergency C-section) is a last-resort treatment for:,Breech delivery,Shoulder Dystocia,Cord Prolapse,Twins,Shoulder Dystocia,It involves reversing the mechanism of labor to perform a life-saving C-section.
799,OBG,Obstetrics - Anatomy,1,The 'Decidua' refers to the:,Fetal part of placenta,Pregnant endometrium,Uterine muscle,Amniotic sac,Pregnant endometrium,The endometrium changes into decidua under the influence of progesterone to support pregnancy.
800,OBG,Obstetrics - Newborn,2,The 'First stool' of a newborn is called:,Lochia,Meconium,Lanugo,Vernix,Meconium,"Meconium is thick, green, and sticky; its passage within 24-48 hours is a sign of bowel patency."
801,Pediatrics,Neonatology,1,What is the most important parameter in the APGAR score for predicting neonatal survival?,Color,Grimace,Heart Rate,Muscle Tone,Heart Rate,Heart rate is the most critical component of the APGAR score. A heart rate of 0 is the most ominous sign during resuscitation.
802,Pediatrics,Growth & Development,2,"A child is able to run, kick a ball, and speak in simple sentences of 2-3 words. What is the most likely age of this child?",12 months,18 months,24 months,36 months,24 months,"At 2 years (24 months), children typically run well, kick a ball, and use 2-3 word phrases."
803,Pediatrics,Nutrition,3,"A 2-year-old child presents with irritability, flaky paint dermatosis, and generalized edema. What is the most likely diagnosis?",Marasmus,Kwashiorkor,Scurvy,Rickets,Kwashiorkor,"Kwashiorkor is characterized by protein deficiency despite adequate calories. Key features include edema, 'flaky paint' dermatitis, and sparse hair."
804,Pediatrics,Neonatology,2,Physiological jaundice in a full-term neonate typically peaks on which day of life?,Day 1,Day 3-4,Day 7,Day 10,Day 3-4,"In term babies, physiological jaundice appears after 24 hours, peaks on day 3-4, and disappears by day 7-10."
805,Pediatrics,Infectious Diseases,1,Koplik spots are pathognomonic for which of the following diseases?,Rubella,Measles,Mumps,Chickenpox,Measles,Koplik spots are small white spots on the buccal mucosa seen 2-3 days before the measles rash appears.
806,Pediatrics,Cardiology,3,A newborn presents with central cyanosis. Chest X-ray shows an 'Egg-on-a-string' appearance. What is the most likely diagnosis?,Tetralogy of Fallot,Transposition of Great Arteries (TGA),Tricuspid Atresia,TAPVC,Transposition of Great Arteries (TGA),"TGA presents with a narrow mediastinum and an oval heart shadow, giving the 'egg-on-a-string' appearance."
607,Pediatrics,Respiratory,2,The 'Steeple Sign' on a neck X-ray is characteristic of:,Epiglottitis,Croup (Laryngotracheobronchitis),Foreign body aspiration,Retropharyngeal abscess,Croup (Laryngotracheobronchitis),Subglottic narrowing in Croup creates the 'steeple sign' on an AP view of the neck X-ray.
808,Pediatrics,Genetics,2,The most common chromosomal abnormality associated with advanced maternal age is:,Trisomy 13,Trisomy 18,Trisomy 21,Turner Syndrome,Trisomy 21,Trisomy 21 (Down Syndrome) is the most common autosomal trisomy and its incidence increases with maternal age.
809,Pediatrics,Nutrition,1,Exclusive breastfeeding is recommended for the first:,3 months,4 months,6 months,12 months,6 months,WHO and IAP recommend exclusive breastfeeding for the first 6 months of life to provide optimal nutrition and immunity.
810,Pediatrics,Neonatology,4,A premature infant (30 weeks) develops respiratory distress and grunt shortly after birth. Chest X-ray shows a 'Ground glass' appearance. What is the treatment of choice?,Oxygen therapy,IV Antibiotics,Surfactant Replacement Therapy,Inhaled Nitric Oxide,Surfactant Replacement Therapy,Respiratory Distress Syndrome (RDS) in preterms is due to surfactant deficiency. Ground glass appearance is the classic X-ray finding.
811,Pediatrics,Growth & Development,1,At what age does a child typically develop a 'Social Smile'?,Birth,2 months,4 months,6 months,2 months,Social smile is a key social milestone achieved at 2 months of age.
812,Pediatrics,Neonatology,2,Which of the following is the drug of choice for neonatal seizures?,Diazepam,Phenobarbitone,Phenytoin,Valproate,Phenobarbitone,Phenobarbitone is the first-line drug for neonatal seizures.
813,Pediatrics,Nutrition,2,Rickets is primarily caused by a deficiency of:,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin D,"Vitamin D deficiency leads to impaired mineralization of bone, causing Rickets in children."
814,Pediatrics,Immunization,2,Which vaccine is contraindicated in a child with a history of progressive neurological disorder?,BCG,OPV,DPT (Whole cell),Hepatitis B,DPT (Whole cell),The Pertussis component in the whole-cell DPT vaccine is contraindicated in children with evolving neurological diseases.
815,Pediatrics,Gastroenterology,3,A 3-week-old male presents with non-bilious projectile vomiting. A palpable 'olive-shaped' mass is felt in the epigastrium. What is the diagnosis?,Intussusception,Malrotation,Congenital Hypertrophic Pyloric Stenosis,Duodenal Atresia,Congenital Hypertrophic Pyloric Stenosis,Non-bilious projectile vomiting and an olive-shaped mass are classic for Pyloric Stenosis.
816,Pediatrics,Hematology,2,What is the most common cause of anemia in children in India?,Thalassemia,Sickle cell anemia,Iron deficiency,Vitamin B12 deficiency,Iron deficiency,"Iron deficiency anemia is the most common nutritional deficiency worldwide, including India."
817,Pediatrics,Neonatology,1,A 'Low Birth Weight' (LBW) infant is defined as a birth weight less than:,3000g,2500g,2000g,1500g,2500g,"LBW is <2500g, Very LBW is <1500g, and Extremely LBW is <1000g."
818,Pediatrics,Growth & Development,2,By what age does a child's birth weight typically quadruple?,1 year,2 years,3 years,4 years,2 years,"Birth weight doubles at 5 months, triples at 1 year, and quadruples at 2 years."
819,Pediatrics,Infectious Diseases,3,"A 5-year-old child presents with high fever, neck stiffness, and a positive Kernig's sign. CSF analysis shows high protein, low sugar, and pleocytosis. What is the likely cause?",Viral meningitis,Bacterial meningitis,Tubercular meningitis,Fungal meningitis,Bacterial meningitis,Low sugar and high protein in CSF with high cell count (neutrophils) points toward pyogenic bacterial meningitis.
820,Pediatrics,Neonatology,2,What is the therapeutic window for starting 'Therapeutic Hypothermia' in a neonate with birth asphyxia?,Within 6 hours,Within 12 hours,Within 24 hours,Anytime in 1st week,Within 6 hours,Therapeutic hypothermia must be initiated within 6 hours of birth to be effective in reducing brain injury from HIE.
821,Pediatrics,Cardiology,2,The most common congenital heart disease worldwide is:,ASD,VSD,PDA,TOF,VSD,Ventricular Septal Defect (VSD) is the most common congenital heart malformation.
822,Pediatrics,Genetics,4,Which of the following heart defects is most commonly associated with Down Syndrome?,VSD,ASD,Endocardial Cushion Defect,Coarctation of Aorta,Endocardial Cushion Defect,"Also known as Atrioventricular Septal Defect (AVSD), it is seen in about 40% of children with Down Syndrome."
823,Pediatrics,Nutrition,2,"Scurvy is caused by a deficiency of Vitamin C, which is essential for the synthesis of:",Hemoglobin,Collagen,Myelin,Keratin,Collagen,"Vitamin C is a cofactor for prolyl hydroxylase, necessary for collagen cross-linking."
824,Pediatrics,Respiratory,3,"A 1-year-old child presents with wheezing, runny nose, and low-grade fever. It is mid-winter. What is the most likely diagnosis?",Asthma,Pneumonia,Acute Bronchiolitis,Croup,Acute Bronchiolitis,Bronchiolitis (usually due to RSV) is the most common cause of wheezing in infants during winter.
825,Pediatrics,Gastroenterology,3,"A 9-month-old child presents with colicky abdominal pain, 'red currant jelly' stools, and an elongated mass in the abdomen. What is the diagnosis?",Appendicitis,Intussusception,Volvulus,Hirschsprung's disease,Intussusception,"Colicky pain, sausage-shaped mass, and red currant jelly stools are the classic triad of intussusception."
826,Pediatrics,Growth & Development,1,At what age should a child be able to sit without support?,4 months,6 months,8 months,10 months,8 months,A child sits with support at 6 months and without support at 8 months.
827,Pediatrics,Immunization,1,The 'Cold Chain' for vaccines in India is maintained at what temperature at the PHC level?,0 to 4°C,2 to 8°C,-2 to -8°C,-20°C,2 to 8°C,Most vaccines (except Polio) are stored between +2°C and +8°C in an ILR (Ice-Lined Refrigerator).
828,Pediatrics,Neonatology,3,A neonate presents with a swelling on the head that does NOT cross the suture lines. What is the diagnosis?,Caput Succedaneum,Cephalhematoma,Subgaleal hemorrhage,Encephalocele,Cephalhematoma,"Cephalhematoma is a subperiosteal collection of blood, hence it is limited by suture lines. Caput succedaneum crosses sutures."
829,Pediatrics,Renal,3,A 4-year-old child presents with periorbital puffiness and frothy urine. Urine analysis shows 4+ proteins. What is the likely diagnosis?,Acute Glomerulonephritis,Minimal Change Disease,Renal Calculi,Pyelonephritis,Minimal Change Disease,"Minimal Change Disease is the most common cause of Nephrotic Syndrome in children, presenting with massive proteinuria and edema."
830,Pediatrics,Endocrinology,4,"A newborn has a large posterior fontanelle, prolonged jaundice, and umbilical hernia. What is the most important test to perform?",Serum Calcium,Serum Bilirubin,Thyroid Function Test,Karyotyping,Thyroid Function Test,These are early signs of Congenital Hypothyroidism. Early diagnosis is vital to prevent mental retardation.
831,Pediatrics,Growth & Development,2,The first permanent tooth to erupt in a child is usually the:,Central Incisor,Lateral Incisor,First Molar,Canine,First Molar,The first permanent molar usually erupts at 6 years of age.
832,Pediatrics,Neonatology,2,Which of the following is the most common cause of 'Neonatal Sepsis' in India?,Group B Streptococcus,E. coli,Klebsiella,Staphylococcus aureus,Klebsiella,"Unlike the West (where GBS is common), Klebsiella and Gram-negative organisms are common in Indian NICUs."
833,Pediatrics,Nutrition,2,Bitot's spots are seen in the deficiency of:,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin A,"Bitot's spots are triangular white patches on the conjunctiva, an early sign of Vitamin A deficiency."
834,Pediatrics,Cardiology,4,A 'Boot-shaped' heart on X-ray is characteristic of:,VSD,ASD,Tetralogy of Fallot,PDA,Tetralogy of Fallot,Right ventricular hypertrophy and an upturned apex give the 'Coeur en sabot' or boot shape in TOF.
835,Pediatrics,Infectious Diseases,2,The 'Reverse 3' or 'E' sign on a chest X-ray/Barium swallow is seen in:,TOF,Coarctation of Aorta,TGA,Pneumonia,Coarctation of Aorta,This is due to pre-stenotic and post-stenotic dilation of the aorta.
836,Pediatrics,Growth & Development,2,A child is able to climb stairs one foot per step and ride a tricycle. What is the age?,2 years,3 years,4 years,5 years,3 years,Riding a tricycle and going up stairs with alternating feet (one foot per step) is a 3-year milestone.
837,Pediatrics,Neonatology,2,Kangaroo Mother Care (KMC) is primarily indicated for infants with:,Birth asphyxia,Birth weight < 2000g,Neonatal jaundice,Sepsis,Birth weight < 2000g,KMC is highly effective for stable LBW and premature infants to maintain temperature and improve growth.
838,Pediatrics,Respiratory,3,A 2-year-old child presents with 'barking' cough and inspiratory stridor. What is the likely diagnosis?,Bronchial Asthma,Acute Epiglottitis,Laryngotracheobronchitis (Croup),Foreign body,Laryngotracheobronchitis (Croup),"Barking cough (seal-like) and stridor are the hallmarks of Croup, usually viral."
839,Pediatrics,Gastroenterology,1,What is the fluid of choice for managing 'Severe Dehydration' in a child with diarrhea?,Oral Rehydration Solution (ORS),5% Dextrose,Ringer's Lactate,Half Normal Saline,Ringer's Lactate,IV Ringer's Lactate or Normal Saline is the treatment of choice for severe dehydration (Shock).
